time_iso8601,forks_cumulative
2024-06-04 00:00:00+00:00,296
2024-06-07 00:00:00+00:00,297
2024-06-18 00:00:00+00:00,298
2024-07-01 00:00:00+00:00,299
2024-07-10 00:00:00+00:00,300
2024-07-12 00:00:00+00:00,302
2024-07-17 00:00:00+00:00,303
2024-07-22 00:00:00+00:00,304
2024-07-23 00:00:00+00:00,305
2024-08-05 00:00:00+00:00,307
2024-08-06 00:00:00+00:00,308
2024-08-22 00:00:00+00:00,309
2024-09-09 00:00:00+00:00,310
2024-10-09 00:00:00+00:00,311
2024-10-14 00:00:00+00:00,312
2024-11-10 00:00:00+00:00,313
2024-11-21 00:00:00+00:00,314
2024-11-25 00:00:00+00:00,315
2024-12-17 00:00:00+00:00,316
2025-01-18 00:00:00+00:00,317
2025-01-19 00:00:00+00:00,318
2025-01-20 00:00:00+00:00,319
2025-01-23 00:00:00+00:00,320
