time_iso8601,stars_cumulative
2020-11-23 00:00:00+00:00,362
2020-11-30 00:00:00+00:00,363
2020-12-05 00:00:00+00:00,364
2020-12-08 00:00:00+00:00,365
2020-12-10 00:00:00+00:00,366
2020-12-11 00:00:00+00:00,367
2020-12-17 00:00:00+00:00,368
2020-12-20 00:00:00+00:00,369
2021-01-06 00:00:00+00:00,370
2021-01-07 00:00:00+00:00,371
2021-01-10 00:00:00+00:00,372
2021-01-12 00:00:00+00:00,373
2021-01-15 00:00:00+00:00,374
2021-01-20 00:00:00+00:00,376
2021-01-23 00:00:00+00:00,377
2021-01-25 00:00:00+00:00,378
2021-02-01 00:00:00+00:00,379
2021-02-15 00:00:00+00:00,380
2021-02-18 00:00:00+00:00,383
2021-02-19 00:00:00+00:00,384
2021-02-25 00:00:00+00:00,385
2021-02-26 00:00:00+00:00,386
2021-03-01 00:00:00+00:00,387
2021-03-02 00:00:00+00:00,388
2021-03-06 00:00:00+00:00,389
2021-03-11 00:00:00+00:00,390
2021-03-13 00:00:00+00:00,391
2021-03-16 00:00:00+00:00,393
2021-03-23 00:00:00+00:00,394
2021-03-24 00:00:00+00:00,395
2021-03-25 00:00:00+00:00,396
2021-03-28 00:00:00+00:00,397
2021-04-02 00:00:00+00:00,398
2021-04-04 00:00:00+00:00,399
2021-04-05 00:00:00+00:00,400
2021-04-14 00:00:00+00:00,401
2021-04-17 00:00:00+00:00,402
2021-04-20 00:00:00+00:00,403
2021-05-03 00:00:00+00:00,404
2021-05-08 00:00:00+00:00,405
2021-05-21 00:00:00+00:00,406
2021-05-24 00:00:00+00:00,407
2021-05-25 00:00:00+00:00,408
2021-05-31 00:00:00+00:00,409
2021-06-05 00:00:00+00:00,410
2021-06-06 00:00:00+00:00,411
2021-06-13 00:00:00+00:00,412
2021-06-14 00:00:00+00:00,413
2021-06-15 00:00:00+00:00,414
2021-06-16 00:00:00+00:00,415
2021-06-18 00:00:00+00:00,416
2021-06-23 00:00:00+00:00,417
2021-06-25 00:00:00+00:00,418
2021-06-30 00:00:00+00:00,421
2021-07-01 00:00:00+00:00,422
2021-07-19 00:00:00+00:00,423
2021-07-22 00:00:00+00:00,424
2021-07-26 00:00:00+00:00,425
2021-07-29 00:00:00+00:00,426
2021-08-06 00:00:00+00:00,427
2021-08-18 00:00:00+00:00,428
2021-08-23 00:00:00+00:00,429
2021-08-24 00:00:00+00:00,431
2021-08-27 00:00:00+00:00,432
2021-09-01 00:00:00+00:00,433
2021-09-05 00:00:00+00:00,434
2021-09-10 00:00:00+00:00,436
2021-09-11 00:00:00+00:00,437
2021-09-24 00:00:00+00:00,438
2021-09-25 00:00:00+00:00,439
2021-10-06 00:00:00+00:00,441
2021-10-08 00:00:00+00:00,442
2021-10-19 00:00:00+00:00,443
2021-10-29 00:00:00+00:00,444
2021-10-31 00:00:00+00:00,445
2021-11-03 00:00:00+00:00,446
2021-11-05 00:00:00+00:00,448
2021-11-07 00:00:00+00:00,450
2021-11-16 00:00:00+00:00,452
2021-11-17 00:00:00+00:00,456
2021-11-18 00:00:00+00:00,457
2021-11-19 00:00:00+00:00,459
2021-11-22 00:00:00+00:00,460
2021-11-23 00:00:00+00:00,461
2021-11-24 00:00:00+00:00,462
2021-12-06 00:00:00+00:00,465
2021-12-07 00:00:00+00:00,466
2021-12-08 00:00:00+00:00,467
2021-12-14 00:00:00+00:00,468
2022-01-11 00:00:00+00:00,469
2022-01-12 00:00:00+00:00,470
2022-01-15 00:00:00+00:00,471
2022-01-21 00:00:00+00:00,472
2022-01-27 00:00:00+00:00,473
2022-01-28 00:00:00+00:00,474
2022-01-31 00:00:00+00:00,476
2022-02-02 00:00:00+00:00,478
2022-02-07 00:00:00+00:00,479
2022-02-08 00:00:00+00:00,480
2022-02-14 00:00:00+00:00,481
2022-02-21 00:00:00+00:00,482
2022-02-24 00:00:00+00:00,483
2022-03-08 00:00:00+00:00,484
2022-03-10 00:00:00+00:00,485
2022-03-11 00:00:00+00:00,486
2022-03-15 00:00:00+00:00,487
2022-03-22 00:00:00+00:00,488
2022-03-31 00:00:00+00:00,489
2022-04-01 00:00:00+00:00,490
2022-04-05 00:00:00+00:00,491
2022-04-08 00:00:00+00:00,492
2022-04-20 00:00:00+00:00,493
2022-04-21 00:00:00+00:00,494
2022-04-24 00:00:00+00:00,495
2022-04-25 00:00:00+00:00,496
2022-04-28 00:00:00+00:00,497
2022-05-05 00:00:00+00:00,498
2022-05-09 00:00:00+00:00,500
2022-05-10 00:00:00+00:00,501
2022-05-13 00:00:00+00:00,502
2022-05-15 00:00:00+00:00,503
2022-05-18 00:00:00+00:00,504
2022-05-19 00:00:00+00:00,505
2022-05-25 00:00:00+00:00,506
2022-06-04 00:00:00+00:00,507
2022-06-16 00:00:00+00:00,508
2022-06-19 00:00:00+00:00,509
2022-06-23 00:00:00+00:00,510
2022-06-27 00:00:00+00:00,511
2022-06-30 00:00:00+00:00,514
2022-07-01 00:00:00+00:00,515
2022-07-03 00:00:00+00:00,516
2022-07-05 00:00:00+00:00,517
2022-07-06 00:00:00+00:00,518
2022-07-07 00:00:00+00:00,519
2022-07-11 00:00:00+00:00,520
2022-07-12 00:00:00+00:00,521
2022-07-18 00:00:00+00:00,522
2022-07-19 00:00:00+00:00,523
2022-07-27 00:00:00+00:00,524
2022-07-28 00:00:00+00:00,526
2022-07-30 00:00:00+00:00,527
2022-08-01 00:00:00+00:00,528
2022-08-05 00:00:00+00:00,529
2022-08-07 00:00:00+00:00,531
2022-08-24 00:00:00+00:00,533
2022-08-30 00:00:00+00:00,534
2022-09-02 00:00:00+00:00,535
2022-09-08 00:00:00+00:00,536
2022-09-09 00:00:00+00:00,537
2022-09-10 00:00:00+00:00,538
2022-09-13 00:00:00+00:00,539
2022-09-15 00:00:00+00:00,540
2022-09-21 00:00:00+00:00,542
2022-09-22 00:00:00+00:00,543
2022-10-12 00:00:00+00:00,544
2022-10-16 00:00:00+00:00,545
2022-10-17 00:00:00+00:00,546
2022-10-18 00:00:00+00:00,547
2022-10-21 00:00:00+00:00,548
2022-10-29 00:00:00+00:00,549
2022-11-02 00:00:00+00:00,550
2022-11-07 00:00:00+00:00,551
2022-11-08 00:00:00+00:00,552
2022-11-13 00:00:00+00:00,553
2022-11-15 00:00:00+00:00,554
2022-11-16 00:00:00+00:00,555
2022-12-04 00:00:00+00:00,556
2022-12-05 00:00:00+00:00,557
2022-12-21 00:00:00+00:00,558
2023-01-09 00:00:00+00:00,559
2023-01-18 00:00:00+00:00,560
2023-01-19 00:00:00+00:00,561
2023-01-24 00:00:00+00:00,563
2023-01-31 00:00:00+00:00,564
2023-02-01 00:00:00+00:00,565
2023-02-03 00:00:00+00:00,567
